Case,year,Month,service,departure station,arrival_station,journey_time_avg,total_num_trips,num_of_canceled_trains,comment_cancellations,num_late_at_departure,avg_delay_late_at_departure,avg_delay_all_departing,comment_delays_at_departure,num_arriving_late,avg_delay_late_on_arrival,avg_delay_all_arriving,comment_delays_on_arrival,delay_cause_external_cause,delay_cause_rail_infrastructure,delay_cause_traffic_management,delay_cause_rolling_stock,delay_cause_station_management,delay_cause_travelers,num_greater_15_min_late,avg_delay_late_greater_15_min,num_greater_30_min_late,num_greater_60_min_late
3670,2015,1,National,PARIS LYON,NICE VILLE,337.5480226,178,1,#N/A,8,15.625,0.90960452,#N/A,26,44.30769231,8.468926554,5 collisions avec des animaux sauvages sur la ligne à grande vitesse ont perturbé la régularité de cette relation en janvier 2015,0.434782609,0.217391304,0.086956522,0.130434783,0.043478261,0.086956522,26,44.30769231,12,4
3671,2015,1,National,VALENCE ALIXAN TGV,PARIS LYON,131.9734694,246,1,#N/A,30,19.63333333,3.273469388,#N/A,29,28.24137931,1.963265306,#N/A,0.357142857,0.214285714,0.107142857,0.178571429,0,0.142857143,23,32.08695652,8,2
3672,2015,1,National,PARIS MONTPARNASSE,BORDEAUX ST JEAN,208.6856678,615,1,#N/A,19,17.68421053,0.693811075,#N/A,58,37.65517241,4.705211726,#N/A,0.270833333,0.333333333,0.145833333,0.104166667,0.104166667,0.041666667,58,37.65517241,23,10
3673,2015,1,National,PARIS LYON,MULHOUSE VILLE,166.7322835,254,0,#N/A,20,22.05,1.94488189,#N/A,22,33.09090909,3.543307087,#N/A,0.181818182,0.227272727,0.363636364,0.045454545,0.181818182,0,16,40.75,6,2
3674,2015,1,National,NIMES,PARIS LYON,177.2277397,292,0,#N/A,26,12.76923077,1.636986301,#N/A,35,29.62857143,2.726027397,#N/A,0.411764706,0.294117647,0.088235294,0.117647059,0,0.088235294,25,36.24,11,3
3675,2015,1,National,DOUAI,PARIS NORD,81.63684211,190,0,#N/A,10,18.2,1.226315789,#N/A,32,12.75,1.215789474,#N/A,0.1,0.366666667,0.3,0.166666667,0.066666667,0,4,39.75,2,1
3676,2015,1,National,PARIS NORD,DOUAI,68.69021739,184,0,#N/A,8,19.25,1.059782609,#N/A,21,25.0952381,3.02173913,#N/A,0.25,0.2,0.15,0.1,0.2,0.1,7,56.42857143,4,1
3677,2015,1,National,PARIS MONTPARNASSE,BREST,268.9333333,210,0,#N/A,9,15.66666667,0.828571429,#N/A,10,33.2,2.252380952,#N/A,0.3,0.2,0.1,0.3,0,0.1,10,33.2,4,1
3678,2015,1,National,PARIS MONTPARNASSE,QUIMPER,273.2236025,161,0,#N/A,3,13,0.48447205,#N/A,5,21.8,1.01242236,#N/A,0.6,0,0.2,0.2,0,0,5,21.8,0,0
3679,2015,1,National,LYON PART DIEU,MONTPELLIER,110.2687861,348,2,#N/A,74,24.5,5.962427746,#N/A,57,38.87719298,7.621387283,#N/A,0.25,0.214285714,0.232142857,0.160714286,0.107142857,0.035714286,42,48.19047619,22,12
3680,2015,1,International,GENEVE,PARIS LYON,173.0516129,155,0,#N/A,21,18.19047619,3.509677419,#N/A,16,43.125,3.561290323,#N/A,0.006451613,0.032258065,0.032258065,0.006451613,0.019354839,0.006451613,13,50.3076923,7,3
3681,2018,2,#N/A,ANGERS SAINT LAUD,PARIS MONTPARNASSE,91.36656892,352,11,#N/A,179,8.822346369,4.729081134,#N/A,110,35.76893939,12.92189638,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)",0.588235294,0.223529412,0.094117647,0.047058824,0.023529412,0.023529412,64,12.92189638,40,19
3682,2018,2,#N/A,PARIS MONTPARNASSE,POITIERS,93.67042889,459,16,#N/A,91,19.37747253,3.708164033,#N/A,103,38.98300971,11.08886381,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)",0.523809524,0.154761905,0.142857143,0.130952381,0.035714286,0.011904762,78,11.08886381,48,19
3683,2018,2,#N/A,PARIS MONTPARNASSE,ANGOULEME,126.5073171,215,10,#N/A,50,14.35666667,3.264390244,#N/A,58,35.76436782,11.9001626,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)",0.480769231,0.096153846,0.211538462,0.153846154,0.019230769,0.038461538,46,11.9001626,22,7
3684,2018,2,#N/A,POITIERS,PARIS MONTPARNASSE,94.05023923,456,38,#N/A,207,9.445571659,4.678708134,#N/A,129,32.79534884,13.02838915,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)",0.494949495,0.151515152,0.141414141,0.131313131,0.060606061,0.02020202,93,13.02838915,46,22
3685,2018,2,#N/A,VANNES,PARIS MONTPARNASSE,155.3504274,243,9,#N/A,145,5.420689655,3.346153846,#N/A,73,38.41575342,13.76894587,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)",0.435483871,0.290322581,0.080645161,0.14516129,0.048387097,0,51,13.76894587,21,12
3686,2018,2,#N/A,PARIS MONTPARNASSE,TOURS,72.22641509,171,12,#N/A,29,36.31896552,6.301572327,#N/A,53,38.93018868,14.03322851,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)",0.605263158,0.157894737,0.131578947,0.078947368,0,0.026315789,30,14.03322851,22,8
3687,2018,2,#N/A,PARIS MONTPARNASSE,VANNES,153.0472103,244,11,#N/A,54,18.51604938,3.954148784,#N/A,64,40.96875,13.07725322,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)",0.421875,0.265625,0.15625,0.140625,0.015625,0,50,12.96595745,28,10
3688,2018,1,#N/A,LYON PART DIEU,LILLE,189.8464164,296,3,#N/A,218,10.35810398,7.809613197,#N/A,67,44.43731343,12.04897611,"Deux accidents de personne  se sont produits sur le secteur Nord, l’un à Fresnoy avec un train Eurostar le 16, et l’autre près de Lille Europe le 25 avec un train Ouigo. 
Aussi en matière de causes retards, le domaine « Externe réseau » est bien le plus marquant avec quasiment cinq points, représentant le tiers de l’irrégularité totale. Et pour les résultats composite et cinq minutes du mois, cela correspond à une baisse d’au moins deux points.
La cause des dérangements se place en seconde position mais avec un taux bien limité, exemple de l’Incident JIC* de Pierrefitte le 10 qui a concerné 14 TGV.",0.307692308,0.326923077,0.096153846,0.173076923,0.038461538,0.057692308,64,12.04897611,35,12
3689,2018,6,#N/A,PARIS MONTPARNASSE,ANGERS SAINT LAUD,90.38483965,383,40,#N/A,22,24.57727273,1.376336249,#N/A,58,32.4408046,7.431049563,#N/A,0.22,0.34,0.2,0.14,0.04,0.06,29,7.431049563,19,5
3690,2018,6,#N/A,ANGOULEME,PARIS MONTPARNASSE,126.981982,260,38,#N/A,30,11.22,2.563438438,#N/A,43,21.66550388,5.887387387,#N/A,0.139534884,0.395348837,0.255813953,0.139534884,0.046511628,0.023255814,24,5.887387387,9,1
3691,2018,6,#N/A,BORDEAUX ST JEAN,PARIS MONTPARNASSE,142.0741279,844,156,#N/A,126,18.93214286,3.913977713,#N/A,129,27.69276486,6.601162791,#N/A,0.302521008,0.336134454,0.151260504,0.134453782,0.050420168,0.025210084,92,6.601162791,31,10
3692,2018,6,#N/A,PARIS MONTPARNASSE,BREST,220.5046729,254,40,#N/A,15,16.21444444,1.097975078,#N/A,21,30.85714286,5.051401869,#N/A,0.428571429,0.19047619,0.095238095,0.238095238,0.047619048,0,20,5.051401869,9,1
3693,2018,6,#N/A,PARIS MONTPARNASSE,LA ROCHELLE VILLE,166.5794872,217,22,#N/A,12,18.5625,1.154102564,#N/A,23,31.91304348,4.553846154,#N/A,0.5,0.272727273,0.045454545,0.136363636,0,0.045454545,17,4.553846154,8,4
3694,2018,6,#N/A,LA ROCHELLE VILLE,PARIS MONTPARNASSE,166.7068063,211,20,#N/A,6,20.33333333,0.759162304,#N/A,40,22.20416667,6.505497382,#N/A,0.461538462,0.230769231,0.179487179,0.076923077,0.051282051,0,24,6.505497382,7,1
3695,2018,6,#N/A,PARIS MONTPARNASSE,LAVAL,83.91351351,220,35,#N/A,15,18.40222222,1.441711712,#N/A,35,17.69571429,4.504144144,#N/A,0.086956522,0.347826087,0.086956522,0.304347826,0.086956522,0.086956522,13,4.504144144,7,1
3696,2018,6,#N/A,POITIERS,PARIS MONTPARNASSE,95.34645669,443,62,#N/A,59,11.95649718,2.494706912,#N/A,90,17.55685185,5.39903762,#N/A,0.23943662,0.352112676,0.211267606,0.084507042,0.084507042,0.028169014,38,5.39903762,14,1
3697,2018,6,#N/A,RENNES,PARIS MONTPARNASSE,98.5418251,659,133,#N/A,79,14.71434599,2.876679341,#N/A,146,17.31746575,5.963022814,#N/A,0.386792453,0.226415094,0.132075472,0.169811321,0.056603774,0.028301887,52,5.963022814,17,2
3698,2018,6,#N/A,PARIS MONTPARNASSE,TOULOUSE MATABIAU,259.3246753,176,22,#N/A,12,13.675,1.017424242,#N/A,27,28.87530864,7.515584416,#N/A,0.444444444,0.37037037,0.111111111,0.074074074,0,0,27,7.515584416,7,2
3699,2018,6,#N/A,PARIS MONTPARNASSE,VANNES,153.2383178,260,46,#N/A,16,16.30729167,1.105062305,#N/A,33,21.60606061,4.58411215,#N/A,0.103448276,0.344827586,0.103448276,0.275862069,0.103448276,0.068965517,19,4.58411215,6,2
3700,2018,6,#N/A,RENNES,LYON PART DIEU,233.8153846,97,32,#N/A,17,10.69607843,3.735897436,#N/A,11,34.71363636,7.773846154,#N/A,0.181818182,0.090909091,0.090909091,0.545454545,0.090909091,0,11,7.773846154,4,1
3701,2018,6,#N/A,TOURCOING,MARSEILLE ST CHARLES,309,19,1,#N/A,0,1,0.722222222,#N/A,2,28.775,3.488888889,#N/A,0,0.5,0.5,0,0,0,2,3.488888889,1,0
3702,2018,6,#N/A,MARNE LA VALLEE,MARSEILLE ST CHARLES,218.1322034,345,50,#N/A,79,14.59198312,4.821186441,#N/A,49,29.59693878,6.597909605,#N/A,0.24137931,0.275862069,0.206896552,0.137931034,0.068965517,0.068965517,49,6.597909605,18,1
3703,2018,6,#N/A,PARIS LYON,AIX EN PROVENCE TGV,187.5441527,450,31,#N/A,58,29.34195402,4.020922832,#N/A,73,34.16187215,5.384725537,#N/A,0.123287671,0.342465753,0.123287671,0.246575342,0.150684932,0.01369863,47,5.384725537,27,12
3704,2018,6,#N/A,BESANCON FRANCHE COMTE TGV,PARIS LYON,130.9764706,196,26,#N/A,15,19.16,1.945294118,#N/A,22,48.35454545,7.241862745,colis suspect en gare de Paris Gare de Lyon,0.111111111,0.444444444,0.222222222,0.166666667,0.055555556,0,20,7.241862745,12,8
3705,2018,6,#N/A,DIJON VILLE,PARIS LYON,97.66410256,433,43,#N/A,103,18.23268608,5.950128205,#N/A,63,37.90740741,7.312136752,#N/A,0.105263158,0.473684211,0.210526316,0.157894737,0.052631579,0,48,7.312136752,28,15
3706,2018,6,#N/A,LYON PART DIEU,PARIS LYON,120.6938436,611,10,#N/A,115,13.78043478,3.605213533,#N/A,84,34.20575397,5.906295064,#N/A,0.12345679,0.308641975,0.209876543,0.24691358,0.098765432,0.012345679,62,5.906295064,32,15
3707,2018,6,#N/A,MULHOUSE VILLE,PARIS LYON,168.0848708,308,37,#N/A,39,15.01282051,3.225707257,#N/A,42,37.04166667,7.224354244,#N/A,0.214285714,0.357142857,0.285714286,0.071428571,0.071428571,0,28,7.224354244,13,9
3708,2018,6,#N/A,NIMES,PARIS LYON,176.4352332,487,101,#N/A,128,23.21445313,8.38462867,#N/A,100,42.8085,12.1447323,heurt d’un animal par le TGV 6137 entre Tonnerre et Pasilly,0.273972603,0.328767123,0.232876712,0.136986301,0,0.02739726,79,12.1447323,56,23
3709,2018,6,#N/A,PARIS LYON,SAINT ETIENNE CHATEAUCREUX,169.9634146,114,32,#N/A,11,31.76969697,4.147357724,#N/A,21,31.93888889,9.142682927,#N/A,0.095238095,0.142857143,0.095238095,0.380952381,0.095238095,0.19047619,14,9.142682927,7,3
3710,2018,6,#N/A,TOULON,PARIS LYON,240.4907063,308,39,#N/A,50,17.965,4.011957869,#N/A,40,43.00958333,7.652478315,intervention pompiers à bord du 9827 à Valence-TGV,0.225,0.475,0.025,0.175,0.05,0.05,40,7.652478315,22,7
3711,2018,6,#N/A,LYON PART DIEU,MARSEILLE ST CHARLES,107.6629712,607,156,#N/A,143,18.85745921,6.836511456,#N/A,113,27.06932153,7.963895048,#N/A,0.351351351,0.22972973,0.135135135,0.162162162,0.054054054,0.067567568,85,7.963895048,30,6
3712,2018,6,#N/A,PARIS LYON,GENEVE,178.9332272,197,40,#N/A,18,31.64537037,3.555732484,#N/A,111,34.9009009,25.36305732,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,95,25.36305732,59,15
3713,2018,6,#N/A,ITALIE,PARIS LYON,281.9451691,84,15,#N/A,25,16.4,7.014492754,#N/A,41,39.21504065,25.2826087,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,41,25.2826087,23,4
3714,2018,6,#N/A,PARIS LYON,BARCELONA,303.852907,97,11,#N/A,12,14.78888889,2.158527132,#N/A,23,38.91304348,13.70930233,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,23,13.70930233,12,3
3715,2018,1,#N/A,LE MANS,PARIS MONTPARNASSE,56.18271605,406,1,#N/A,213,8.479968701,4.567119342,#N/A,105,18.04904762,5.363539095,"Ce mois-ci, l'OD a été touchée par les incients suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 12 : Incident caténaire en gare de Rennes (26 TGV ; 2188mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)
Le 17 : Présence d’une personne dans les voies à Ste Luce (11 TGV ; 212mn)
Le 26 : Heurt d’une personne au niveau de Tiercé (44 TGV ; 1578mn)",0.2,0.35,0.166666667,0.166666667,0.083333333,0.033333333,32,5.363539095,9,4
3716,2018,1,#N/A,PARIS MONTPARNASSE,TOULOUSE MATABIAU,257.4530387,182,1,#N/A,38,10.4122807,1.958747698,#N/A,21,57.18095238,6.779558011,"Ce mois-ci, l'OD a été touchée par les incients suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)",0.476190476,0.285714286,0,0.19047619,0.047619048,0,21,6.779558011,17,7
